"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2782","Add product to cart, remove from cart","chromium","Sun Dec 29 22:12:06 IST 2024","passed","Sun Dec 29 22:12:08 IST 2024","Cart page tests","cart.spec.ts","",""
"","9367","login and add all products to cart","chromium","Sun Dec 29 22:11:57 IST 2024","passed","Sun Dec 29 22:12:07 IST 2024","Add a product to cart","addToCart.spec.ts","",""
"","2314","Login then sort low to high and logout","chromium","Sun Dec 29 22:12:11 IST 2024","passed","Sun Dec 29 22:12:13 IST 2024","Login the user and sort the price list and logout","sorting.spec.ts","",""
"","2048","Add a product to cart and verify if product added in cart via cart page","chromium","Sun Dec 29 22:12:04 IST 2024","passed","Sun Dec 29 22:12:06 IST 2024","Cart page tests","cart.spec.ts","",""
"","3152","Login into the website add a product to cart and logout","chromium","Sun Dec 29 22:11:57 IST 2024","passed","Sun Dec 29 22:12:00 IST 2024","Add a product to cart","addToCart.spec.ts","",""
"","3011","login add product to cart via cta, remove from cart via cta and logout","chromium","Sun Dec 29 22:12:01 IST 2024","passed","Sun Dec 29 22:12:04 IST 2024","Add a product to cart","addToCart.spec.ts","",""
"","1243","Login with invalid creds and veirfy errors","chromium","Sun Dec 29 22:12:08 IST 2024","passed","Sun Dec 29 22:12:10 IST 2024","Login with invalid creds","loginError.spec.ts","",""
"","2234","logout from the website","chromium","Sun Dec 29 22:12:10 IST 2024","passed","Sun Dec 29 22:12:12 IST 2024","Login and logout test","loginPage.spec.ts","",""
"","2403","Login then sort high to low and logout","chromium","Sun Dec 29 22:12:12 IST 2024","passed","Sun Dec 29 22:12:15 IST 2024","Login the user and sort the price list and logout","sorting.spec.ts","",""
"","3133","Login, add a product to cart, checkout flow","chromium","Sun Dec 29 22:12:07 IST 2024","passed","Sun Dec 29 22:12:10 IST 2024","E2E test","e2e.spec.ts","",""
"","1400","login into the website","chromium","Sun Dec 29 22:12:10 IST 2024","passed","Sun Dec 29 22:12:11 IST 2024","Login and logout test","loginPage.spec.ts","",""
